id;fecha;status;precio_total;metodo_de_pago;referencia;cliente_id
1;2021-08-19T10:50:34;CANCELADO;82419;CUPON;Comunicaciones Director Administrador;1
2;2021-08-19T12:50:17;RECHAZADO;44230;EFECTIVO;THX Escalinata synthesize;2
3;2021-08-19T18:34:49;RECHAZADO;95691;EFECTIVO;Rua bluetooth morph;1
4;2021-08-19T20:01:32;COMPLETO;57136;CUPON;Salchichas;2
5;2021-08-19T01:47:42;CANCELADO;86744;EFECTIVO;Lari monitor Contabilidad;2
6;2021-08-19T01:15:22;CANCELADO;95100;CUPON;Colegio;1
7;2021-08-19T10:43:44;RECHAZADO;60396;CUPON;Cantabria Amarillo;2
8;2021-08-18T23:06:03;CANCELADO;44131;CUPON;óptima;2
9;2021-08-19T09:28:52;CANCELADO;16728;CUPON;didactica primary;2
10;2021-08-19T07:28:15;PAGADO;64242;CUPON;Kwacha Avanzado;2
